trigger_pattern,source,cause,action,remedy
Fault Status 1: PCS fault,"Sungrow LC200/LC300 fault & alarm guide, 8-1-1-0",Raised while at least one PCS is still communicating and every PCS is either faulted or out of contact with the LC. Checked every 300 ms; clears by itself as soon as any PCS recovers.,"Fault reported, system stops.","This names the device, not the problem. Open Running information - Energy storage converter information on the LC and read the whole-machine fault status to find which PCS is faulted and why; work that fault. If only some PCS units are affected the LC raises ""PCS unit fault"" as an alarm instead of this fault."
Fault Status 1: BSC fault,"Sungrow LC200/LC300 fault & alarm guide, 8-1-1-2",Raised while at least one BSC is still communicating and every BSC is either faulted or out of contact with the LC. Checked every 300 ms; clears as soon as any BSC recovers.,"Fault reported, system stops.","Open Battery system controller information on the LC, find the specific BSC fault and work that. This alarm only says which controller saw it."
Fault Status 1: LC node fault,"Sungrow LC200/LC300 fault & alarm guide, 8-1-1-6",A node configured as a fault type is open or closed against its expected state. Checked every 300 ms.,"Fault reported, system stops, and whatever the node is configured to trigger runs.","Open Node information on the LC to find which node. Then confirm at the hardware why the DIN input reads wrong. Usual causes: the node device itself has failed; a poor contact in the wiring is giving a false report; the controller hardware is damaged. For a linked DI/DO node (fan supply circuit, for instance) the fault depends on input and output agreeing, not on the default state."
System not ready fault,"Sungrow LC200/LC300 fault & alarm guide, 8-1-1-7","No unit can run although nothing is faulted — a healthy PCS whose BSC is faulted, or a healthy BSC whose PCS is faulted.","Fault reported, system stops.","Clear the ""PCS unit fault"" and ""BSC unit fault"" alarms first. Then check whether a BSC is blocked from starting on low temperature: when the coldest cell in every battery unit is below the minimum start temperature the BSC reads start-inhibited. On 2.0HX check that the PCS-CMU signal receive point is not disabled — a disabled point alone makes the LC report this."
Emergency stop,"Sungrow LC200/LC300 fault & alarm guide, 8-1-1-8","The LC, or any BSC, has its ""system emergency stop"" node in fault.","Fault reported, system stops, plus whatever the emergency-stop node is configured to trigger.","Treat as a node fault: confirm at the hardware why the DIN input reads wrong. Usual causes are the node device itself, a poor contact giving a false report, or damaged controller hardware."
LC-PCS comm fault,"Sungrow LC200/LC300 fault & alarm guide, 8-1-1-1 / 8-1-2-3; Site practice — Tashkent","Every PCS has lost contact with the LC (fault), or only some have (alarm). With GOOSE enabled both GOOSE and Modbus are judged.","Fault reported, system stops. The alarm variant only reports.","On site this is usually the cable: reseat it first, and a restart often clears it. If it persists, replace the RJ-45, and as a last resort the communication board on the PCS. A useful check: if only one LC on the block shows the fault while the other LC on the same block is healthy, the problem is on that leg, not upstream. Vendor steps: confirm the PCS IP configuration in the LC; log into the LC with xshell and ping the PCS; with GOOSE enabled verify the PCS GOOSE frames arrive and their MAC matches the LC. Note that after a program restart with GOOSE enabled this fault clears itself in about 3 minutes while the protocol loads — that is normal. Recorded cases: a CMU upgrade restarting the CMU briefly drops PCS power and the socket disconnects; and duplicate MAC addresses on two PCS units, which kept them from being online at the same time."
LC-BSC comm fault,"Sungrow LC200/LC300 fault & alarm guide, 8-1-1-3 / 8-1-2-6; Site practice — Tashkent","Every BSC has lost contact with the LC (fault), or only some have (alarm).","Fault reported, system stops. The alarm variant only reports.","Check the communication cable first — reseat, then restart. Confirm the BSC IP configuration in the LC and that IP, port and Modbus address match the equipment as wired; the BSC-to-PCS mapping must be right too. Log into the LC with xshell and ping the BSC. Recorded case: the BSC simply lost power — its DC24V came from a supply board whose DC input breaker had been left off, so it kept rebooting."
BSC-PCS comm fault,Site practice — Tashkent; Sungrow LC200/LC300 fault & alarm guide (ethernet troubleshooting),The BSC cannot talk to the PCS.,Reported as a fault.,"Same repair as the other communication faults: reseat the cable, restart, then replace the RJ-45 and finally the PCS communication board. Check IP, port and Modbus address against the equipment as wired. If only one LC on the block is affected and the other is healthy, the fault is on that leg."
BSC-LC comm fault,"Site practice — Tashkent; Sungrow LC200/LC300 fault & alarm guide, 8-1-2-6",The BSC cannot talk to the LC.,Reported as a fault.,"Reseat the cable and restart; then RJ-45, then the communication board. Confirm IP, port and Modbus address, and that the BSC-PCS mapping is configured."
SYSTEM ALARM STATE,"Sungrow LC200/LC300 fault & alarm guide, 8-1-2-8 … 8-1-2-11","The LC system alarm word, which carries several alarms at once. Among them are the SOC limit alarms: SOC upper limit level 1 and 2, SOC lower limit level 1 and 2. Each fires when a rack's online SOC passes the threshold for longer than the configured SOC control delay.",Alarm reported only — the system keeps running.,"Usually nothing. The SOC limit alarms clear on their own: discharging below the upper-limit recovery value, or charging above the lower-limit recovery value, ends them. They therefore appear on every normal charge to the limit, which is why this word dominates the alarm hours. Read the specific alarm behind it before treating it as a fault."
